price,bathrooms,bedrooms,parking,type,street,suburb,postcode,latitude,longitude,school,furnished,SA2_code,nearestSchool,School_distance,to_School_time
550.0,2,4,2,House,572 Cameron Street,DONNYBROOK,3064.0,-37.530876,144.9989,"Donnybrook Primary School0.7 km awayPrep-6CoEdGovernmentView Catchment,Mickleham Secondary College8.6 km away7CoEdGovernmentView Catchment,Mount Ridley P-12 College8.6 km awayPrep-12CoEdGovernmentView Catchment",False,209041225.0,"{'dist': 0.6741158182789508, 'nearest_coord': (-37.53686229999999, 144.997692)}",863.2,193.1
550.0,2,4,2,House,559 Cameron Street,DONNYBROOK,3064.0,-37.531075,144.99704,"Donnybrook Primary School0.7 km awayPrep-6CoEdGovernmentView Catchment,Mickleham Secondary College8.4 km away7CoEdGovernmentView Catchment,Mount Ridley P-12 College8.5 km awayPrep-12CoEdGovernmentView Catchment",False,209041225.0,"{'dist': 0.6460823087131544, 'nearest_coord': (-37.53686229999999, 144.997692)}",793.2,185.3
540.0,2,4,2,House,10 Tannery Street,DONNYBROOK,3064.0,-37.529613,145.00014,"Donnybrook Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Mickleham Secondary College8.7 km away7CoEdGovernmentView Catchment,Mount Ridley P-12 College8.8 km awayPrep-12CoEdGovernmentView Catchment",False,209041225.0,"{'dist': 0.8344882257152006, 'nearest_coord': (-37.53686229999999, 144.997692)}",1122.0,261.5
550.0,2,4,2,Townhouse,38 Hawkesbury Drive,DONNYBROOK,3064.0,-37.540028,144.96925,"Gilgai Plains Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment,Mount Ridley P-12 College6 km awayPrep-12CoEdGovernmentView Catchment,Merriang Special Developmental School14.7 km awayUCoEdGovernmentView Catchment",False,209041225.0,"{'dist': 1.1170345368537775, 'nearest_coord': (-37.5335695, 144.9595466)}",2793.3,341.8
530.0,2,3,2,Townhouse,55 Curbridge Drive,DONNYBROOK,3064.0,-37.544876,144.959,"Gilgai Plains Primary School1.3 km awayPrep-6CoEdGovernmentView Catchment,Mount Ridley P-12 College5 km awayPrep-12CoEdGovernmentView Catchment,Merriang Special Developmental School14.5 km awayUCoEdGovernmentView Catchment",False,209041225.0,"{'dist': 1.2581506014873225, 'nearest_coord': (-37.5335695, 144.9595466)}",2643.0,339.1
550.0,2,4,2,House,3 Vestige Street,DONNYBROOK,3064.0,-37.542976,144.97868,"Donnybrook Primary School1.8 km awayPrep-6CoEdGovernmentView Catchment,Mount Ridley P-12 College6.4 km awayPrep-12CoEdGovernmentView Catchment,Merriang Special Developmental School14.2 km awayUCoEdGovernmentView Catchment",False,209041225.0,"{'dist': 1.8088879347359115, 'nearest_coord': (-37.53686229999999, 144.997692)}",3074.8,298.2
520.0,2,4,2,House,11 FAYALITE CIRCUIT,DONNYBROOK,3064.0,-37.530155,144.99615,"Donnybrook Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Mickleham Secondary College8.3 km away7CoEdGovernmentView Catchment,Mount Ridley P-12 College8.5 km awayPrep-12CoEdGovernmentView Catchment",False,209041225.0,"{'dist': 0.7581117158295856, 'nearest_coord': (-37.53686229999999, 144.997692)}",1012.3,235.2
520.0,2,4,2,House,55 Langford Road,DONNYBROOK,3064.0,-37.548893,144.96085,"Gilgai Plains Primary School1.8 km awayPrep-6CoEdGovernmentView Catchment,Mount Ridley P-12 College4.8 km awayPrep-12CoEdGovernmentView Catchment,Merriang Special Developmental School14 km awayUCoEdGovernmentView Catchment",False,209041225.0,"{'dist': 1.7077687778143762, 'nearest_coord': (-37.5335695, 144.9595466)}",2985.3,346.2
500.0,2,4,2,House,546 CAMERON STREET,DONNYBROOK,3064.0,-37.530563,144.99617,"Donnybrook Primary School0.7 km awayPrep-6CoEdGovernmentView Catchment,Mickleham Secondary College8.3 km away7CoEdGovernmentView Catchment,Mount Ridley P-12 College8.5 km awayPrep-12CoEdGovernmentView Catchment",False,209041225.0,"{'dist': 0.7131921328881957, 'nearest_coord': (-37.53686229999999, 144.997692)}",887.4,194.0
500.0,2,3,2,House,19 Oakham Street,DONNYBROOK,3064.0,-37.54847,144.96526,"Gilgai Plains Primary School1.8 km awayPrep-6CoEdGovernmentView Catchment,Mount Ridley P-12 College5.1 km awayPrep-12CoEdGovernmentView Catchment,Merriang Special Developmental School13.9 km awayUCoEdGovernmentView Catchment",False,209041225.0,"{'dist': 1.7317473177009932, 'nearest_coord': (-37.5335695, 144.9595466)}",3449.7,371.4
