price,bathrooms,bedrooms,parking,type,street,suburb,postcode,latitude,longitude,school,furnished,SA2_code,nearestStation,Station_distance,to_Station_time
470.0,2,4,2,House,16 Allspice Street,MANOR LAKES,3024.0,-37.86272,144.59718,"Ngarri Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College1.3 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College4 km awayGovernmentMore Info",False,213051579.0,"{'dist': 18.001837869066275, 'nearest_coord': (-37.7776206, 144.7715273)}",30038.7,2279.1
470.0,2,3,1,House,5 Graded Street,MANOR LAKES,3024.0,-37.8633,144.57654,"Ngarri Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.6 km awayPrep-12CoEdGovernmentView Catchment,Our Lady of the Southern Cross3 km awayPrep-6CoEdCatholicMore Info",False,213051579.0,"{'dist': 19.59855893206642, 'nearest_coord': (-37.7776206, 144.7715273)}",32463.3,2578.6
460.0,2,3,1,House,16 Brushton Street,MANOR LAKES,3024.0,-37.875862,144.58565,"Ngarri Primary School1 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College1.5 km awayPrep-12CoEdGovernmentView Catchment,Walcom Ngarrwa Secondary College3.9 km awayGovernmentMore Info",False,213051579.0,"{'dist': 19.643195899624864, 'nearest_coord': (-37.7776206, 144.7715273)}",37124.8,2449.6
440.0,2,3,2,House,17 Edenvale Street,MANOR LAKES,3024.0,-37.86755,144.59514,"Manor Lakes P-12 College1 km awayPrep-12CoEdGovernmentView Catchment,Ngarri Primary School0.9 km awayPrep-6CoEdGovernmentMore Info,Laa Yulta Primary School2 km awayGovernmentMore Info",False,213051579.0,"{'dist': 18.439725608370377, 'nearest_coord': (-37.7776206, 144.7715273)}",30321.2,2327.9
400.0,2,3,2,House,10 Cassata Road,MANOR LAKES,3024.0,-37.86691,144.57591,"Ngarri Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.5 km awayPrep-12CoEdGovernmentView Catchment,Our Lady of the Southern Cross2.8 km awayPrep-6CoEdCatholicMore Info",False,213051579.0,"{'dist': 19.84433012267316, 'nearest_coord': (-37.7776206, 144.7715273)}",32223.7,2553.8
600.0,2,4,2,House,24 Goodison Grove,MOUNT COTTRELL,3024.0,-37.82841,144.6485,"Tarneit Rise Primary School1.7 km awayPrep-6CoEdGovernmentView Catchment,Tarneit Senior College2.8 km away10-12CoEdGovernmentView Catchment,Tarneit P-9 College3 km awayPrep-9CoEdGovernmentView Catchment",False,213051582.0,"{'dist': 12.195366932185621, 'nearest_coord': (-37.7776206, 144.7715273)}",17912.3,1521.8
1200.0,2,1,4,House,1407 Dohertys Road,MOUNT COTTRELL,3024.0,-37.815697,144.64928,"Tarneit Senior College3.3 km away10-12CoEdGovernmentView Catchment,Tarneit P-9 College3.6 km awayPrep-9CoEdGovernmentView Catchment,Wimba Primary School2 km awayGovernmentMore Info",False,213051582.0,"{'dist': 11.545624991246875, 'nearest_coord': (-37.7776206, 144.7715273)}",15941.8,1311.2
470.0,2,4,2,House,24 Fusion Drive,WYNDHAM VALE,3024.0,-37.861927,144.60197,"Manor Lakes P-12 College1.4 km awayPrep-12CoEdGovernmentView Catchment,Ngarri Primary School1.6 km awayPrep-6CoEdGovernmentMore Info,Laa Yulta Primary School2.7 km awayGovernmentMore Info",False,213051589.0,"{'dist': 17.59823714817039, 'nearest_coord': (-37.7776206, 144.7715273)}",30079.6,2278.5
430.0,1,3,1,House,9 Clover Lane,WYNDHAM VALE,3024.0,-37.88658,144.62262,"Riverbend Primary School1.1 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.3 km awayPrep-12CoEdGovernmentView Catchment,Wyndham Central Secondary College2.7 km away7-12CoEdGovernmentMore Info",False,213051590.0,"{'dist': 17.827295116261855, 'nearest_coord': (-37.7776206, 144.7715273)}",28991.3,1959.6
430.0,2,3,1,House,56 Grangehill Mews,WYNDHAM VALE,3024.0,-37.84955,144.59538,"Ngarri Primary School2.1 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.8 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College4.1 km awayGovernmentMore Info",False,213051589.0,"{'dist': 17.418557784394153, 'nearest_coord': (-37.7776206, 144.7715273)}",31911.8,2416.3
520.0,2,4,2,House,10 Tasker Street,WYNDHAM VALE,3024.0,-37.86878,144.61858,"Riverbend Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College1.6 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College2.6 km awayGovernmentMore Info",False,213051589.0,"{'dist': 16.82910054518521, 'nearest_coord': (-37.7776206, 144.7715273)}",28788.0,2160.0
