price,bathrooms,bedrooms,parking,type,street,suburb,postcode,latitude,longitude,school,furnished,SA2_code,nearestStation,Station_distance,to_Station_time
750.0,2,2,0,Apartment / Unit / Flat,403/639 Lonsdale Street,MELBOURNE,3000.0,-37.81501,144.95341,"Docklands Primary School1.1 km awayPrep-6CoEdGovernmentView Catchment,University High School2 km away7-12CoEdGovernmentView Catchment,Haileybury College - City Boys0.4 km awayPrivateMore Info",True,206041505.0,"{'dist': 0.38424597082851425, 'nearest_coord': (-37.81839, 144.9525)}",688.6,90.2
625.0,1,1,0,Apartment / Unit / Flat,3409/138 Spencer Street,MELBOURNE,3000.0,-37.81747,144.95366,"Docklands Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment,University High School2.3 km away7-12CoEdGovernmentView Catchment,Haileybury College - City Boys0.7 km awayPrivateMore Info",True,206041505.0,"{'dist': 0.14438717646888055, 'nearest_coord': (-37.81839, 144.9525)}",323.7,48.6
620.0,1,1,1,Apartment / Unit / Flat,103/300 Swanston Street,MELBOURNE,3000.0,-37.810608,144.96458,"Carlton Gardens Primary School1 km awayPrep-6CoEdGovernmentView Catchment,University High School1.7 km away7-12CoEdGovernmentView Catchment,Ozford College0.4 km away10-11CoEdPrivateMore Info",True,206041504.0,"{'dist': 0.19671152116179877, 'nearest_coord': (-37.80990389999999, 144.9625258)}",656.5,120.7
550.0,1,1,0,Apartment / Unit / Flat,801/115 Swanston Street,MELBOURNE,3000.0,-37.814995,144.96603,"Carlton Gardens Primary School1.5 km awayPrep-6CoEdGovernmentView Catchment,University High School2.2 km away7-12CoEdGovernmentView Catchment,Ozford College - Ozford College Campus0.5 km awayPrivateMore Info",True,206041503.0,"{'dist': 0.3753919756462534, 'nearest_coord': (-37.8182711, 144.9670618)}",2099.5,327.1
525.0,1,1,0,Apartment / Unit / Flat,808/422 Collins Street,MELBOURNE,3000.0,-37.817097,144.96014,"Docklands Primary School1.7 km awayPrep-6CoEdGovernmentView Catchment,University High School2.3 km away7-12CoEdGovernmentView Catchment,Eltham College - Lonsdale Street Campus0.5 km awayPrivateMore Info",False,206041505.0,"{'dist': 0.6218716065857941, 'nearest_coord': (-37.8182711, 144.9670618)}",2437.1,408.5
525.0,1,1,0,Apartment / Unit / Flat,405/39 Queen Street,MELBOURNE,3000.0,-37.817886,144.96173,"Docklands Primary School1.9 km awayPrep-6CoEdGovernmentView Catchment,University High School2.4 km away7-12CoEdGovernmentView Catchment,Eltham College - Lonsdale Street Campus0.6 km awayPrivateMore Info",True,206041505.0,"{'dist': 0.4702980023432548, 'nearest_coord': (-37.8182711, 144.9670618)}",2272.4,396.2
450.0,1,0,0,Studio,1403/325 Collins Street,MELBOURNE,3000.0,-37.816597,144.96346,"Carlton Gardens Primary School1.7 km awayPrep-6CoEdGovernmentView Catchment,University High School2.3 km away7-12CoEdGovernmentView Catchment,Eltham College - Lonsdale Street Campus0.5 km awayPrivateMore Info",True,206041505.0,"{'dist': 0.3670851200252862, 'nearest_coord': (-37.8182711, 144.9670618)}",2451.9,397.6
500.0,1,2,0,Apartment / Unit / Flat,2006/19-37 A'Beckett Street,MELBOURNE,3000.0,-37.808918,144.96262,"Carlton Gardens Primary School1 km awayPrep-6CoEdGovernmentView Catchment,University High School1.5 km away7-12CoEdGovernmentView Catchment,Eltham College - Lonsdale Street Campus0.4 km awayPrivateMore Info",False,206041504.0,"{'dist': 0.10993913713336508, 'nearest_coord': (-37.80990389999999, 144.9625258)}",1485.9,254.6
1900.0,2,4,2,Apartment / Unit / Flat,2601/82 Flinders Street,MELBOURNE,3000.0,-37.815918,144.97194,"Carlton Gardens Primary School1.6 km awayPrep-6CoEdGovernmentView Catchment,Collingwood College2.2 km awayPrep-12CoEdGovernmentView Catchment,Victorian College Of The Arts Secondary School1.5 km away7-12CoEdGovernmentMore Info",False,206041503.0,"{'dist': 0.5020754905374613, 'nearest_coord': (-37.8182711, 144.9670618)}",1846.7,289.5
750.0,1,1,0,Apartment / Unit / Flat,1208/10 Bennetts Lane,MELBOURNE,3000.0,-37.809036,144.96793,"Carlton Gardens Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,University High School1.7 km away7-12CoEdGovernmentView Catchment,Ozford College0.2 km away10-11CoEdPrivateMore Info",True,206041503.0,"{'dist': 0.48446875678831813, 'nearest_coord': (-37.80990389999999, 144.9625258)}",701.7,129.5
