price,bathrooms,bedrooms,parking,type,street,suburb,postcode,latitude,longitude,school,furnished,SA2_code,nearestHospital,hospital_distance,to_hospital_time
550.0,1,3,1,Apartment / Unit / Flat,24 Lats Avenue,CARRUM DOWNS,3201.0,-38.100025,145.19232,"Rowellyn Park Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Carrum Downs Secondary College0.8 km away7-12CoEdGovernmentView Catchment,Nepean Special School4.9 km awayUCoEdGovernmentView Catchment",False,214011370.0,"{'dist': 6.699166904992246, 'nearest_coord': (-38.153035, 145.155926)}",10222.0,753.2
530.0,2,3,2,Townhouse,16/32 Lats Avenue,CARRUM DOWNS,3201.0,-38.099827,145.19328,"Rowellyn Park Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Carrum Downs Secondary College0.8 km away7-12CoEdGovernmentView Catchment,Nepean Special School5 km awayUCoEdGovernmentView Catchment",False,214011370.0,"{'dist': 6.746469995286488, 'nearest_coord': (-38.157557, 145.169552)}",9534.2,685.6
530.0,2,3,2,Apartment / Unit / Flat,2/91 Cadles Road,CARRUM DOWNS,3201.0,-38.093678,145.18782,"Banyan Fields Primary School0.1 km awayPrep-6CoEdGovernmentView Catchment,Carrum Downs Secondary College0.9 km away7-12CoEdGovernmentView Catchment,Nepean Special School4.9 km awayUCoEdGovernmentView Catchment",False,214011370.0,"{'dist': 7.165645802243294, 'nearest_coord': (-38.153035, 145.155926)}",10182.9,744.9
495.0,1,2,1,Townhouse,10/27 Brunnings Road,CARRUM DOWNS,3201.0,-38.09411,145.19109,"Banyan Fields Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Carrum Downs Secondary College0.6 km away7-12CoEdGovernmentView Catchment,Nepean Special School5.1 km awayUCoEdGovernmentView Catchment",False,214011370.0,"{'dist': 7.238269506762057, 'nearest_coord': (-38.153035, 145.155926)}",10349.4,756.7
460.0,2,2,1,Townhouse,4 Oasis Court,CARRUM DOWNS,3201.0,-38.09927,145.18321,"Banyan Fields Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Carrum Downs Secondary College1.4 km away7-12CoEdGovernmentView Catchment,Nepean Special School4.2 km awayUCoEdGovernmentView Catchment",False,214011370.0,"{'dist': 6.437165488507534, 'nearest_coord': (-38.153035, 145.155926)}",9561.6,706.1
1000.0,2,4,2,House,9 Birkdale Avenue,HEATHERTON,3202.0,-37.957478,145.08076,"Kingston Heath Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Cheltenham Secondary College1.2 km away7-12CoEdGovernmentView Catchment,Southern Autistic School3.8 km awayUCoEdGovernmentView Catchment",False,208031191.0,"{'dist': 0.3154065917799874, 'nearest_coord': (-37.955018, 145.078969)}",1180.9,243.8
890.0,3,4,2,House,9 Augusta Square,HEATHERTON,3202.0,-37.958805,145.08081,"Kingston Heath Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Cheltenham Secondary College1.2 km away7-12CoEdGovernmentView Catchment,Southern Autistic School3.9 km awayUCoEdGovernmentView Catchment",False,208031191.0,"{'dist': 0.4509704785174869, 'nearest_coord': (-37.955018, 145.078969)}",1357.4,298.6
850.0,2,3,2,House,27 St Georges Crescent,HEATHERTON,3202.0,-37.960426,145.08247,"Kingston Heath Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Cheltenham Secondary College1.5 km away7-12CoEdGovernmentView Catchment,Southern Autistic School4.1 km awayUCoEdGovernmentView Catchment",False,208031191.0,"{'dist': 0.6751506627036565, 'nearest_coord': (-37.955018, 145.078969)}",1424.8,314.8
1250.0,2,4,6,House,10-12 Pietro Road,HEATHERTON,3202.0,-37.956554,145.09384,"Kingston Heath Primary School1.5 km awayPrep-6CoEdGovernmentView Catchment,Cheltenham Secondary College2.2 km away7-12CoEdGovernmentView Catchment,Southern Autistic School4.3 km awayUCoEdGovernmentView Catchment",False,208031191.0,"{'dist': 1.314964855821804, 'nearest_coord': (-37.955018, 145.078969)}",1640.0,173.0
750.0,2,3,2,House,34 San Lorenzo Ct,HEATHERTON,3202.0,-37.95968,145.07642,"Kingston Heath Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Cheltenham Secondary College1 km away7-12CoEdGovernmentView Catchment,Southern Autistic School3.9 km awayUCoEdGovernmentView Catchment",False,208031191.0,"{'dist': 0.5645115888841419, 'nearest_coord': (-37.955018, 145.078969)}",1033.4,220.9
